# ----------------------------------------
# Página de destino: Página de destino
# Conta: G5 Segurança
# Propriedade: G5 - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260623
# Data de término: 20260920
Página de destino,Sessões,Usuários ativos,Novos usuários,Tempo médio de engajamento por sessão,Eventos principais,Receita total,Taxa de eventos principais da sessão
/,2110,1978,2102,10.195260663507108,59,0,0.01990521327014218
/totem-de-seguranca-para-condominios,265,248,248,15.139622641509433,0,0,0
/solucoes/solucoes-para-sua-empresa,190,189,212,1.9052631578947368,0,0,0
/empresa-de-seguranca,187,175,170,20.55614973262032,1,0,0.0053475935828877
/empresa-de-seguranca-para-condominios,64,60,58,11.796875,0,0,0
/solucoes/solucoes-para-seu-condominio,64,60,67,2.984375,0,0,0
/instagram,61,58,55,9.262295081967213,0,0,0
/totem-de-seguranca-para-controle-de-acesso,61,60,61,26.42622950819672,2,0,0.01639344262295082
(not set),49,39,0,0.24489795918367346,0,0,0
/armario-inteligente-portaria-remota,45,44,44,30.155555555555555,1,0,0.022222222222222223
/totem-de-seguranca,42,32,30,29.38095238095238,4,0,0.047619047619047616
/fale-conosco,31,29,25,29.70967741935484,14,0,0.25806451612903225
/seguranca-em-condominios-de-curitiba,25,18,17,23.68,0,0,0
/os-principais-tipos-de-sistemas-de-seguranca-e-como-eles-funcionam,23,21,21,25.347826086956523,0,0,0
/portaria-remota-em-curitiba,21,21,19,23.61904761904762,2,0,0.09523809523809523
/solucoes/solucoes-para-sua-residencia,21,17,20,9.952380952380953,0,0,0
/planilha-de-calculo-de-inadimplencia,18,17,16,23.77777777777778,0,0,0
/quem-somos,16,14,12,29.9375,2,0,0.0625
/como-reduzir-o-risco-de-vandalismo-com-medidas-preventivas-de-seguranca,13,13,13,21.846153846153847,0,0,0
/monitoramento-perimetral,13,13,13,21.846153846153847,0,0,0
/videomonitoramento-por-drone,13,12,12,21.384615384615383,1,0,0.07692307692307693
/beneficios-do-totem-de-seguranca,12,12,12,9.25,0,0,0
/empresa-de-seguranca-em-curitiba,12,12,12,21.083333333333332,2,0,0.08333333333333333
/blog,11,10,8,0.9090909090909091,0,0,0
/g5-seguranca-passa-a-integrar-o-conecta-muralha,11,10,7,37.90909090909091,6,0,0.09090909090909091
/solucoes/solucoes-para-escolas,9,9,9,7.444444444444445,1,0,0.1111111111111111
/totem-de-seguranca-em-curitiba-tecnologia-e-visibilidade-que-transformam-o-condominio-morada-do-bosque,9,9,9,22.555555555555557,0,0,0
/totem-de-seguranca-inteligente,9,9,9,5.444444444444445,0,0,0
/5-vulnerabilidades-que-passam-despercebidas,8,8,8,45.375,1,0,0.125
/h5,8,8,8,0,0,0,0
/controle-de-acesso-reconhecimento-facial,7,7,7,1.8571428571428572,0,0,0
/portaria-remota,7,7,6,22.714285714285715,0,0,0
/seguranca-residencial-para-viagens-2,7,7,7,5.142857142857143,0,0,0
/servicos-integrados,7,7,7,0.2857142857142857,0,0,0
/cameras-inteligentes-vs-cameras-comuns,6,6,6,2,0,0,0
/controle-de-acesso-inteligente,6,6,6,7.666666666666667,0,0,0
/ebook-manutencao-preventiva,6,6,6,3.1666666666666665,0,0,0
/robos-e-drones-de-vigilancia,6,6,6,40.333333333333336,1,0,0.16666666666666666
/furtos-em-supermercados,5,5,5,3.6,0,0,0
/gestao-de-encomendas,5,5,4,55.2,0,0,0
/o-papel-do-totem-de-seguranca,5,5,5,7.2,0,0,0
/seguranca,5,5,5,3,0,0,0
/volta-as-aulas-saiba-como-a-inteligencia-artificial-g5-protege-seus-alunos,5,5,5,0,0,0,0
/delivery-e-portaria-remota-como-reforcar-a-seguranca-na-entrega,4,4,4,0,0,0,0
/guia-de-eficiencia-para-condominios,4,3,3,0,0,0,0
/guia-de-seguranca-para-o-final-do-ano,4,4,4,0,0,0,0
/o-que-e-e-como-funciona-a-portaria-remota,4,4,4,0,0,0,0
/planejamento-orcamentario,4,4,3,15.25,0,0,0
/politica-de-privacidade-grupo-cinco,4,4,4,8.75,0,0,0
/projetos-de-seguranca-para-industrias,4,4,4,0,0,0,0
/reconhecimento-facial-mais-seguranca-para-alunos-e-professores,4,4,4,0,0,0,0
/seguranca-eletronica,4,4,4,0,0,0,0
/sistema-de-controle-de-acesso-eficiente-como-escolher-o-seu,4,4,4,0,0,0,0
/vantagens-de-instalar-um-totem-de-seguranca,4,4,4,0,0,0,0
/10-razoes-pelas-quais-sua-empresa-precisa-de-seguranca-preventiva,3,3,3,2.6666666666666665,0,0,0
/4-sinais-de-que-sua-empresa-precisa-de-sistemas-de-seguranca,3,3,3,0,0,0,0
