# ----------------------------------------
# Visão geral da aquisição
# Conta: G5 Segurança
# Propriedade: G5 - GA4
# ----------------------------------------
#  
# Data de início: 20260623
# Data de término: 20260920
Nª semana,Usuários ativos
0000,247
0001,326
0002,298
0003,284
0004,271
0005,311
0006,291
0007,446
0008,360
0009,297
0010,202
0011,114
0012,84
0013,6

# Data de início: 20260623
# Data de término: 20260920
Nª semana,Novos usuários
0000,263
0001,335
0002,309
0003,292
0004,290
0005,325
0006,294
0007,452
0008,375
0009,310
0010,206
0011,112
0012,78
0013,6

#  
# Data de início: 20260623
# Data de término: 20260920
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Novos usuários
Paid Social,1709
Direct,559
Organic Search,523
Paid Search,480
Organic Social,133
Paid Other,112
Email,92
Cross-network,16
Referral,12
AI Assistant,10
Unassigned,1

#  
# Data de início: 20260623
# Data de término: 20260920
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões
Paid Social,1630
Organic Search,638
Direct,579
Paid Search,534
Organic Social,141
Email,101
Paid Other,100
Referral,18
Cross-network,16
AI Assistant,12
Unassigned,8

#  
# Data de início: 20260623
# Data de término: 20260920
Sessão da campanha do Google Ads,Sessões
[SEARCH][TOTEM] - 30.07.2025,256
GERAL - MONITORAMENTO,194
PORTARIA REMOTA (NOVA 04/2025),58

#  
# Data de início: 20260524
# Data de término: 20260920
Coorte,Valor médio de 120 dias
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0

#  
# Data de início: 20260623
# Data de término: 20260920
Origem da campanha manual da sessão,Sessões
fb,1470
google,1090
ig,215
an,100
RD Station,99
m.facebook.com,41
bing,38
facebook.com,37
chatgpt.com,12
l.wl.co,7
l.facebook.com,6
app.rdstation.com.br,3
br.search.yahoo.com,3
sindesp-pr.org.br,3
EE Fgbgvba,2
perplexity,2
teams.public.onecdn.static.microsoft,2
app.clickup.com,1
ecosia.org,1
files.namtab.io,1
lm.facebook.com,1
manage.multisiteadmin.com,1
