# ----------------------------------------
# Aquisição de usuários: Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão)
# Conta: G5 Segurança
# Propriedade: G5 - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260623
# Data de término: 20260920
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Total de usuários,Novos usuários,Usuários recorrentes,Tempo médio de engajamento por usuário ativo,Sessões engajadas por usuário ativo,Contagem de eventos,Eventos principais,Taxa de eventos principais do usuário
Paid Social,1565,1709,21,1.9522888459058672,0.27143778207607994,7573,0,0
Direct,558,559,14,7.65945945945946,0.218018018018018,2993,18,0.01981981981981982
Organic Search,536,523,78,39.82056074766355,0.7869158878504673,4465,61,0.07850467289719626
Paid Search,482,480,44,19.981327800829874,0.5663900414937759,3247,18,0.024896265560165973
Organic Social,134,133,5,5.6716417910447765,0.5373134328358209,860,0,0
Paid Other,99,112,1,0.5454545454545454,0.2727272727272727,518,0,0
Email,92,92,2,30.706521739130434,0.6413043478260869,622,3,0.021739130434782608
Cross-network,16,16,1,34.8125,0.8125,167,0,0
Referral,11,12,2,57.27272727272727,0.8181818181818182,99,0,0
AI Assistant,10,10,1,30.2,0.7,84,2,0.1
Unassigned,1,1,0,0,1,10,0,0
