# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: G5 Segurança
# Propriedade: G5 - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260623
# Data de término: 20260920
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/,2523,2021,1.248391885205344,8.08164275111331,10495,23,0
/totem-de-seguranca-para-condominios,306,248,1.2338709677419355,16.362903225806452,1605,0,0
/solucoes/solucoes-para-sua-empresa/,281,239,1.1757322175732217,5.364016736401673,1103,3,0
/empresa-de-seguranca,219,173,1.2658959537572254,20.930635838150287,1137,0,0
/solucoes/solucoes-para-seu-condominio/,148,125,1.184,14.928,534,6,0
/fale-conosco/,140,104,1.3461538461538463,25.192307692307693,534,36,0
/solucoes/solucoes-para-sua-residencia/,88,73,1.2054794520547945,19.78082191780822,300,7,0
/totem-de-seguranca-para-controle-de-acesso/,84,66,1.2727272727272727,25,368,2,0
/empresa-de-seguranca-para-condominios,74,60,1.2333333333333334,11.816666666666666,357,0,0
/instagram,65,59,1.1016949152542372,2.016949152542373,430,0,0
/quem-somos/,61,51,1.196078431372549,19.372549019607842,223,2,0
/armario-inteligente-portaria-remota/,47,44,1.0681818181818181,29.363636363636363,235,1,0
/blog/,47,20,2.35,12.7,141,10,0
/totem-de-seguranca/,46,32,1.4375,34.25,212,2,0
/seguranca-em-condominios-de-curitiba/,37,22,1.6818181818181819,31.045454545454547,144,0,0
/os-principais-tipos-de-sistemas-de-seguranca-e-como-eles-funcionam/,29,21,1.380952380952381,24.666666666666668,120,0,0
/portaria-remota-em-curitiba/,22,22,1,20.5,106,2,0
/solucoes/solucoes-para-escolas/,22,22,1,8.863636363636363,84,2,0
/5-vulnerabilidades-que-passam-despercebidas/,20,11,1.8181818181818181,33.18181818181818,72,1,0
/planilha-de-calculo-de-inadimplencia,20,17,1.1764705882352942,22.470588235294116,116,0,0
/empresa-de-seguranca-em-curitiba/,18,15,1.2,10.133333333333333,70,0,0
/g5-seguranca-passa-a-integrar-o-conecta-muralha/,16,12,1.3333333333333333,21.5,70,0,0
/monitoramento-perimetral/,16,15,1.0666666666666667,15.666666666666666,68,0,0
/como-reduzir-o-risco-de-vandalismo-com-medidas-preventivas-de-seguranca/,15,13,1.1538461538461537,21.846153846153847,71,0,0
/beneficios-do-totem-de-seguranca/,13,12,1.0833333333333333,3.9166666666666665,58,0,0
/videomonitoramento-por-drone/,13,12,1.0833333333333333,23.166666666666668,68,1,0
/controle-de-acesso-reconhecimento-facial/,12,9,1.3333333333333333,2.888888888888889,46,0,0
/politica-de-privacidade-grupo-cinco/,10,8,1.25,4.875,37,0,0
/totem-de-seguranca-em-curitiba-tecnologia-e-visibilidade-que-transformam-o-condominio-morada-do-bosque/,10,10,1,11.2,48,0,0
/totem-de-seguranca-inteligente/,10,10,1,7.5,45,0,0
/seguranca-residencial-para-viagens-2/,9,8,1.125,4.875,35,0,0
/cameras-inteligentes-vs-cameras-comuns/,8,7,1.1428571428571428,2,30,0,0
